"Ferment","Humidity","Inlet","Outlet","Rain","Input","Output"
23.16829314,78.37365537,125.346986,38.0206105,25,23468,5231
22.66238076,80.74788527,129.593762,39.07956667,35,29282,6881
24.96343358,78.41698113,105.5638369,43.70199564,30,11601,2384
27.2902905,80.18315335,116.78972,36.86111403,30,15403,3234
22.97487382,79.34209108,114.7739212,39.70578887,55,19511,4100
26.20661208,78.80376805,98.77059593,39.18677452,15,18351,3888
23.1678515,78.37365537,125.346986,37.06165794,2,9401,2134
24.88164054,80.62194135,117.0530576,41.57684572,28,12752,2655
22.66609461,80.74788527,116.6016072,44.23656322,30,4594,1820
26.20661208,80.16162142,125.4843682,39.30874437,10,15149,3307
27.20918804,79.92210176,99.03528661,38.02929543,40,30261,6573
27.28186629,79.69567974,114.9955594,43.63567226,34,14864,3272
24.44050863,79.32668586,129.256917,37.4851914,14,16173,3454
25.06403345,79.21615832,129.256917,39.05008672,45,19986,4210
25.6750809,78.29405821,122.185059,36.00421995,20,11079,2501
25.62307173,78.29405821,119.1540354,37.23562402,5,15784,3337
24.45149596,80.82285528,112.3706972,41.80816389,45,13793,3078
23.50005652,78.30238021,126.0695173,44.7537638,40,8465,1762
23.16829314,80.74788527,96.27519623,36.37239835,45,12334,2392
27.42361269,79.34158265,110.8289538,41.38002165,25,16705,3453
22.91784149,80.74788527,109.6068077,35.66824034,35,23815,5199
27.33078519,79.22178613,117.7226915,40.79655071,15,11794,2358
22.34310339,79.19225136,111.000565,42.53016142,20,9764,2011
25.07848528,79.07764414,124.7266733,37.90865746,29,18744,4011
25.17588932,79.26512176,116.6371782,43.97473936,45,9084,1964
27.51865797,79.32196425,100.5079374,41.57152567,5,15682,3334
24.80306083,78.03819254,129.9820953,38.27376164,25,23468,5000
23.01871409,80.74788527,107.1911753,37.6711538,45,25756,5449
27.37213088,80.75199036,120.7023885,43.12489346,35,13793,2935
26.49440708,79.81771705,115.5610859,40.53407138,5,16286,3352
22.61862266,78.30455448,116.6016072,41.07970387,30,19788,4247
27.0747521,79.48749844,117.3772888,37.33770625,45,19511,4011
24.74203336,78.03819254,126.0695173,43.33613314,24,9401,2006
26.839893,78.64016778,105.368052,41.15980781,50,11479,2571
26.66599806,78.64016778,100.7497462,42.08002289,35,12580,2628
24.8272643,80.43946224,128.8158611,35.16914162,5,15220,3269
22.99870824,78.69363103,107.5895937,38.0206105,25,24078,5072
22.46728568,78.55041365,103.7897404,38.2768215,25,9882,2196
22.34310339,79.87636052,115.935393,43.29545866,27,7827,987
22.52566121,80.53987208,129.1969008,43.73896464,28,14934,3255
24.37223632,79.16745613,121.8024283,35.6670924,6,25158,5316
22.87539914,79.72364355,105.3893376,42.53016142,20,16828,3728
24.18953084,80.11431251,127.9888687,38.27376164,28,7827,1820
26.593188,79.04670046,108.9723966,37.29495841,6,15574,3347
22.19557247,80.54104964,111.000565,43.98348011,15,15117,3275
26.9366195,79.81148071,117.3772888,39.30874437,20,16877,3623
25.53547025,79.49348989,100.8926844,44.16945708,31,13906,2868
23.6803456,79.4712915,101.0596166,35.6670924,29,11160,2511
27.63837362,80.53297071,115.9119954,43.00870067,5,17728,3610
24.02765767,79.92544517,111.9594612,38.70657961,40,10263,2186
24.41164536,79.32668586,129.256917,35.68574591,25,15114,3269
